message;severity;node;stamp;topics;location
"2.839";"2";"/snake_control";"1546088263.564130795";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"2.481";"2";"/snake_control";"1546088263.544110509";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"2.172";"2";"/snake_control";"1546088263.524152243";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"1.905";"2";"/snake_control";"1546088263.504195123";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"1.675";"2";"/snake_control";"1546088263.485241125";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"1.477";"2";"/snake_control";"1546088263.465308962";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"1.307";"2";"/snake_control";"1546088263.445343612";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"1.159";"2";"/snake_control";"1546088263.425434625";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"1.032";"2";"/snake_control";"1546088263.405475081";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.921";"2";"/snake_control";"1546088263.383589225";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.824";"2";"/snake_control";"1546088263.363655211";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.740";"2";"/snake_control";"1546088263.343636863";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.667";"2";"/snake_control";"1546088263.323725736";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.602";"2";"/snake_control";"1546088263.303868642";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.545";"2";"/snake_control";"1546088263.284050967";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.495";"2";"/snake_control";"1546088263.264002355";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.450";"2";"/snake_control";"1546088263.245211342";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.411";"2";"/snake_control";"1546088263.225212605";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.376";"2";"/snake_control";"1546088263.204278472";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.344";"2";"/snake_control";"1546088263.185136954";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.316";"2";"/snake_control";"1546088263.165211370";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.291";"2";"/snake_control";"1546088263.145269038";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.268";"2";"/snake_control";"1546088263.125244946";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.248";"2";"/snake_control";"1546088263.105278792";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.230";"2";"/snake_control";"1546088263.085355981";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.213";"2";"/snake_control";"1546088263.065424144";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
